Brand=["Mekhala"],Reporting Range=["Monthly"],Select year=["2023"],Select month=["September"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"huy fong sriracha","281","19343","461161","733","0.16","9284","48.0","1","0.01","22.95","7.89","110","1204","1484","2691","13.91","1","0.04","19.99","7.89","48","461","537","1418","7.33","1","0.07","21.5","7.89","28","270","295","2023-09-30"
"simmer sauce","143","4276","95892","952","0.99","1623","37.96","6","0.37","5.79","6.49","17","185","150","882","20.63","4","0.45","5.49","6.49","7","65","54","354","8.28","2","0.56","5.29","6.49","1","29","12","2023-09-30"
"omsom noodles","961","1065","25525","56","0.22","657","61.69","2","0.3","13.99","6.49","11","159","127","263","24.69","1","0.38","4.99","7.29","3","44","38","83","7.79","0","0.0","4.99",,"0","15","11","2023-09-30"
"red curry","18","1589","38812","1301","3.35","738","46.44","96","13.01","6.49","6.49","29","116","137","460","28.95","70","15.22","6.18","6.49","25","65","80","187","11.77","21","11.23","6.18","6.49","15","28","33","2023-09-30"
"yellow curry thai","365","36","739","24","3.25","12","33.33","3","25.0","7.99","7.99","0","1","4","7","19.44","2","28.57","7.99","6.49","0","1","2","2","5.56","1","50.0","6.49","6.49","0","1","0","2023-09-30"
"mae ploy yellow curry paste","952","465","11891","393","3.31","338","72.69","0","0.0","8.08",,"11","130","108","196","42.15","0","0.0","8.08",,"8","87","63","103","22.15","0","0.0","8.08",,"4","45","36","2023-09-30"
"garlic powder","904","97748","2391721","406","0.02","56451","57.75","1","0.0","5.69","6.49","4961","15830","9276","45944","47.0","0","0.0","4.99",,"3944","12021","6991","20811","21.29","0","0.0","5.49",,"2011","5993","3268","2023-09-30"
"date paste","831","2454","64504","285","0.44","1165","47.47","1","0.09","12.99","7.29","94","487","381","512","20.86","1","0.2","14.49","7.29","47","238","144","222","9.05","0","0.0","14.49",,"27","113","55","2023-09-30"
"gluten free thai foods","698","8","152","1","0.66","4","50.0","1","25.0","17.35","7.99","0","0","2","4","50.0","1","25.0","17.35","7.99","0","0","2","2","25.0","1","50.0","7.99","7.99","0","0","1","2023-09-30"
"gluten free vegan sauce","564","23","464","11","2.37","9","39.13","1","11.11","9.49","7.99","0","4","2","7","30.43","1","14.29","9.49","7.99","0","3","2","6","26.09","1","16.67","7.99","7.99","0","2","2","2023-09-30"
"soup","913","279612","6060571","390","0.01","91916","32.87","1","0.0","6.99","6.49","4447","11949","7834","64979","23.24","0","0.0","5.99",,"3213","7584","4669","30577","10.94","0","0.0","6.99",,"1645","3473","1871","2023-09-30"
"miso sauce","116","920","22357","766","3.43","349","37.93","11","3.15","8.76","7.99","20","109","83","153","16.63","4","2.61","8.49","7.99","9","42","34","61","6.63","3","4.92","7.99","7.99","2","14","17","2023-09-30"
"scallion oil sauce","352","72","1585","48","3.03","33","45.83","3","9.09","13.39","7.99","8","9","4","17","23.61","2","11.76","13.09","7.99","6","5","0","1","1.39","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"chilli paste","845","1464","33272","243","0.73","427","29.17","1","0.23","8.32","6.99","26","141","78","170","11.61","1","0.59","7.49","6.99","11","53","25","68","4.64","0","0.0","6.99",,"4","23","9","2023-09-30"
"mild curry sauce","928","88","2018","44","2.18","42","47.73","3","7.14","6.69","6.49","2","5","7","13","14.77","1","7.69","6.99","6.49","0","3","3","4","4.55","0","0.0","5.69",,"0","1","1","2023-09-30"
"gluten free peanut sauce","471","160","3714","69","1.86","114","71.25","1","0.88","5.99","6.49","6","20","21","54","33.75","1","1.85","7.96","6.49","4","10","11","21","13.13","1","4.76","7.99","6.49","2","5","5","2023-09-30"
"sharwoods yellow curry","712","1","20","1","5.0","1","100.0","1","100.0","24.01","24.01","0","1","0","1","100.0","1","100.0","24.01","24.01","0","1","0","1","100.0","1","100.0","24.01","24.01","0","1","0","2023-09-30"
"yellow curry nut-free","612","1","20","4","20.0","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"japanese sweet potato","772","1762","40520","399","0.98","609","34.56","1","0.16","16.7","6.49","2","8","13","268","15.21","1","0.37","16.69","6.49","0","3","5","132","7.49","0","0.0","4.49",,"0","1","2","2023-09-30"
"fermented","350","2859","61685","94","0.15","805","28.16","7","0.87","8.99","6.49","17","84","54","387","13.54","4","1.03","7.99","6.49","2","27","14","103","3.6","0","0.0","7.99",,"1","9","1","2023-09-30"
"mekhala organic gluten-free thai yellow curry paste 3.53oz","495","4","123","14","11.38","2","50.0","2","100.0","7.99","7.99","0","0","1","1","25.0","1","100.0","7.99","7.99","0","0","1","1","25.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"garlic paste","96","15977","357883","2881","0.81","5429","33.98","15","0.28","6.97","6.49","102","1196","1177","3136","19.63","7","0.22","5.69","6.49","53","569","574","1102","6.9","1","0.09","6.29","6.49","21","234","216","2023-09-30"
"kaffir lime leaves fresh","893","1283","33001","165","0.5","593","46.22","1","0.17","9.99","6.49","6","96","109","288","22.45","1","0.35","9.59","6.49","4","45","63","138","10.76","0","0.0","9.59",,"1","27","32","2023-09-30"
"east asian style sauteed aromatics","323","24","443","21","4.74","9","37.5","6","66.67","7.99","7.99","0","4","4","2","8.33","2","100.0","7.99","7.99","0","0","2","1","4.17","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"scallion sauce","783","56","1463","35","2.39","23","41.07","3","13.04","11.99","7.99","0","8","6","17","30.36","2","11.76","10.0","7.99","0","5","5","0","0.0","0",,,,"0","0","0","2023-09-30"
"cilantro fresh bunch","236","16006","305943","1455","0.48","11676","72.95","3","0.03","1.39","6.49","0","0","1","11271","70.42","2","0.02","1.39","6.49","0","0","1","6752","42.18","0","0.0","1.39",,"0","0","1","2023-09-30"
"sambal oelek huy fong","139","2760","69778","2347","3.36","957","34.67","4","0.42","25.5","7.89","21","117","118","161","5.83","2","1.24","13.45","7.89","7","43","31","91","3.3","1","1.1","21.0","18.9","3","30","13","2023-09-30"
"harissa paste","210","12713","354583","1273","0.36","6655","52.35","3","0.05","8.99","6.49","159","1972","2068","3711","29.19","1","0.03","7.99","6.49","96","1152","1145","1808","14.22","1","0.06","7.99","6.49","60","629","569","2023-09-30"
"rendang ayam","624","3","58","4","6.9","1","33.33","1","100.0","7.89","7.89","0","1","0","1","33.33","1","100.0","7.89","7.89","0","1","0","1","33.33","1","100.0","7.89","7.89","0","1","0","2023-09-30"
"mekhala thai basil garlic","165","5","244","37","15.16","3","60.0","3","100.0","7.99","7.99","0","1","2","3","60.0","3","100.0","7.99","7.99","0","1","2","3","60.0","3","100.0","7.99","7.99","0","1","2","2023-09-30"
"tahini paste","260","11467","286175","531","0.19","5113","44.59","4","0.08","12.99","6.49","392","1925","1509","2771","24.16","2","0.07","12.99","6.49","233","1099","786","1324","11.55","1","0.08","12.99","6.49","120","559","380","2023-09-30"
"onions fresh organic","190","15199","302171","877","0.29","9803","64.5","3","0.03","4.49","6.49","0","3","32","9076","59.71","3","0.03","4.49","6.49","0","1","20","5640","37.11","1","0.02","2.79","6.49","0","1","1","2023-09-30"
"sweet thai chili sauce","437","2544","60443","126","0.21","1106","43.47","1","0.09","7.49","6.49","30","302","301","672","26.42","1","0.15","7.21","6.49","21","171","177","306","12.03","1","0.33","7.16","6.49","11","76","78","2023-09-30"
"minced garlic in jar","170","7078","161310","1313","0.81","3547","50.11","5","0.14","4.89","6.49","62","273","274","2712","38.32","5","0.18","4.85","6.49","39","164","169","1347","19.03","0","0.0","4.89",,"20","87","93","2023-09-30"
"soy sauce","166","104828","2587372","1875","0.07","45570","43.47","4","0.01","4.99","6.49","2062","9231","7019","32428","30.93","1","0.0","4.69","6.49","1452","5728","3987","14883","14.2","1","0.01","4.79","6.49","718","2918","1898","2023-09-30"
"thai red curry paste","5","4515","116470","4368","3.75","2545","56.37","378","14.85","5.93","6.49","160","711","562","1796","39.78","310","17.26","4.79","6.49","120","507","340","903","20.0","149","16.5","4.79","6.49","70","289","181","2023-09-30"
"fermented foods","312","7039","165141","200","0.12","2518","35.77","7","0.28","10.49","6.99","67","323","350","873","12.4","4","0.46","9.49","6.49","8","90","94","271","3.85","0","0.0","9.49",,"0","31","22","2023-09-30"
"napa cabbage","360","7947","166404","328","0.2","2543","32.0","2","0.08","3.49","6.49","0","24","23","1938","24.39","1","0.05","3.29","6.99","0","8","7","883","11.11","1","0.11","3.99","6.99","0","2","3","2023-09-30"
"ocean's halo","735","1289","29836","158","0.53","479","37.16","5","1.04","5.49","6.99","3","10","18","191","14.82","2","1.05","5.29","6.49","0","0","2","57","4.42","0","0.0","5.29",,"0","0","2","2023-09-30"
"miso","108","29395","733471","2002","0.27","12866","43.77","10","0.08","8.76","6.49","749","2877","2097","7347","24.99","4","0.05","8.69","6.49","434","1456","1021","2815","9.58","2","0.07","8.69","6.49","199","608","363","2023-09-30"
"organic broccoli","218","17531","367988","1244","0.34","10399","59.32","2","0.02","4.29","6.49","1","15","12","9198","52.47","1","0.01","4.29","6.49","0","3","4","4980","28.41","1","0.02","4.29","6.49","0","2","0","2023-09-30"
"butter chicken simmer sauce","505","175","4141","46","1.11","82","46.86","1","1.22","7.49","6.49","1","19","12","48","27.43","1","2.08","5.75","6.49","1","9","5","24","13.71","1","4.17","6.39","6.49","0","4","4","2023-09-30"
"mala stir fry paste","650","1","19","3","15.79","1","100.0","1","100.0","36.38","36.38","0","0","0","1","100.0","1","100.0","36.38","36.38","0","0","0","1","100.0","1","100.0","36.38","36.38","0","0","0","2023-09-30"
"yellow curry sauce","173","424","10263","300","2.92","197","46.46","18","9.14","8.69","7.39","3","44","48","82","19.34","4","4.88","8.1","7.39","1","13","18","29","6.84","1","3.45","7.99","7.99","0","5","7","2023-09-30"
"herbs fresh organic","993","747","13987","66","0.47","399","53.41","1","0.25","2.99","6.49","0","0","0","362","48.46","1","0.28","2.99","6.49","0","0","0","176","23.56","0","0.0","2.99",,"0","0","0","2023-09-30"
"toom","788","3964","77474","355","0.46","937","23.64","1","0.11","6.29","6.49","1","4","3","522","13.17","1","0.19","6.29","6.49","0","1","1","208","5.25","0","0.0","6.29",,"0","0","0","2023-09-30"
"mekhala green curry paste","72","42","933","212","22.72","27","64.29","24","88.89","13.5","17.5","2","6","11","13","30.95","13","100.0","17.5","17.5","0","4","7","5","11.9","5","100.0","7.99","7.99","0","1","3","2023-09-30"
"麻辣","790","112","2449","56","2.29","28","25.0","2","7.14","13.98","7.99","0","5","6","6","5.36","2","33.33","7.99","7.99","0","3","0","0","0.0","0",,,,"0","0","0","2023-09-30"
"lemongrass seasoning","511","166","3770","43","1.14","75","45.18","1","1.33","7.99","6.99","3","22","26","31","18.67","1","3.23","7.99","6.99","1","12","9","11","6.63","1","9.09","7.99","6.99","1","6","0","2023-09-30"
"mikes organic curry love","318","162","4524","178","3.93","89","54.94","2","2.25","29.99","6.49","0","11","30","33","20.37","2","6.06","29.99","6.49","0","5","9","7","4.32","1","14.29","29.99","20.49","0","1","3","2023-09-30"
"miso paste gluten free","317","120","2836","108","3.81","67","55.83","4","5.97","9.97","7.99","4","29","14","35","29.17","2","5.71","9.97","7.99","4","15","9","17","14.17","1","5.88","8.81","7.99","2","11","2","2023-09-30"
"lemongrass fresh organic","247","44","809","39","4.82","12","27.27","2","16.67","2.69","6.49","0","0","1","8","18.18","2","25.0","2.69","6.49","0","0","0","5","11.36","2","40.0","2.99","6.49","0","0","0","2023-09-30"
"mala paste","241","65","1610","170","10.56","15","23.08","4","26.67","18.9","7.99","0","4","5","8","12.31","4","50.0","11.99","7.99","0","3","2","3","4.62","1","33.33","11.99","7.99","0","1","1","2023-09-30"
"red cury paste","823","6","142","4","2.82","6","100.0","2","33.33","6.49","6.49","0","1","0","4","66.67","2","50.0","6.49","6.49","0","0","0","1","16.67","0","0.0","5.69",,"0","0","0","2023-09-30"
"green onions","127","28780","600586","3972","0.66","18473","64.19","2","0.01","1.19","6.49","6","71","66","17277","60.03","0","0.0","1.19",,"2","26","29","9505","33.03","0","0.0","1.19",,"0","8","13","2023-09-30"
"gluten free tom yum","817","3","110","8","7.27","2","66.67","2","100.0","7.29","7.29","0","0","1","2","66.67","2","100.0","7.29","7.29","0","0","1","0","0.0","0",,,,"0","0","0","2023-09-30"
"soups","546","20042","461743","21","0.0","6593","32.9","1","0.02","6.99","6.49","384","1428","1030","4523","22.57","1","0.02","5.29","6.49","266","877","639","1932","9.64","1","0.05","5.49","6.49","126","377","212","2023-09-30"
"tom yom","606","7","139","5","3.6","2","28.57","1","50.0","7.99","7.99","0","2","0","2","28.57","1","50.0","7.99","7.99","0","2","0","1","14.29","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"curry paste organic","64","102","2491","220","8.83","42","41.18","16","38.1","7.29","6.49","0","8","5","29","28.43","14","48.28","6.49","6.49","0","6","4","7","6.86","6","85.71","6.49","6.49","0","2","1","2023-09-30"
"garlic fresh organic whole","844","1538","31688","537","1.69","1033","67.17","0","0.0","2.69",,"0","2","2","940","61.12","0","0.0","2.69",,"0","1","2","541","35.18","0","0.0","2.69",,"0","1","1","2023-09-30"
"ginger scallion dipping sauce","329","26","655","24","3.66","8","30.77","5","62.5","7.99","7.99","0","3","5","2","7.69","2","100.0","7.99","7.99","0","0","2","1","3.85","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"prepared foods whole foods market","460","17080","347181","93","0.03","5173","30.29","1","0.02","9.99","7.29","1","2","1","3233","18.93","1","0.03","9.99","7.29","0","2","0","1696","9.93","1","0.06","9.99","7.29","0","0","0","2023-09-30"
"red thai curry paste gluten free","613","1","60","4","6.67","1","100.0","1","100.0","6.49","6.49","0","1","0","1","100.0","1","100.0","6.49","6.49","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"tikka paste","144","110","2827","175","6.19","47","42.73","12","25.53","8.69","7.99","1","15","19","25","22.73","6","24.0","8.54","7.99","1","9","7","13","11.82","2","15.38","8.53","7.99","0","5","5","2023-09-30"
"organic pesto","743","1325","30813","187","0.61","730","55.09","3","0.41","6.99","7.99","1","71","78","340","25.66","2","0.59","6.88","6.49","0","22","21","151","11.4","0","0.0","6.72",,"0","6","7","2023-09-30"
"thai chili paste","109","1912","49235","550","1.12","760","39.75","9","1.18","8.88","6.49","41","273","246","395","20.66","7","1.77","8.28","6.49","23","144","121","192","10.04","3","1.56","6.28","6.39","15","76","60","2023-09-30"
"thai green chili","372","118","2591","47","1.81","33","27.97","2","6.06","9.45","6.49","0","2","1","22","18.64","2","9.09","6.49","6.49","0","2","0","10","8.47","1","10.0","2.49","6.49","0","2","0","2023-09-30"
"tumeric paste","179","192","5086","237","4.66","81","42.19","6","7.41","15.97","6.49","2","35","34","29","15.1","3","10.34","15.97","6.49","1","14","9","9","4.69","2","22.22","15.97","6.49","0","4","3","2023-09-30"
"mild curry paste","113","274","7117","357","5.02","111","40.51","11","9.91","8.96","6.49","4","29","40","48","17.52","9","18.75","8.96","6.49","2","12","14","21","7.66","2","9.52","8.96","6.49","2","5","7","2023-09-30"
"thai turmeric sauce","255","2","120","5","4.17","2","100.0","2","100.0","7.99","7.99","0","0","2","2","100.0","2","100.0","7.99","7.99","0","0","2","2","100.0","2","100.0","7.99","7.99","0","0","2","2023-09-30"
"korean chilli paste","183","222","4946","198","4.0","87","39.19","6","6.9","8.7","7.99","3","34","25","48","21.62","3","6.25","8.7","7.99","1","15","16","19","8.56","2","10.53","7.99","7.89","1","3","11","2023-09-30"
"lemongrass tumeric paste","731","4","68","13","19.12","4","100.0","3","75.0","6.39","6.49","0","2","0","4","100.0","3","75.0","6.39","6.49","0","2","0","0","0.0","0",,,,"0","0","0","2023-09-30"
"organic green curry paste","91","70","1893","206","10.88","53","75.71","19","35.85","7.99","7.99","3","10","23","23","32.86","10","43.48","7.99","7.99","1","1","13","9","12.86","4","44.44","7.99","6.49","0","1","5","2023-09-30"
"red curry paste thai mike organic curry","625","4","83","4","4.82","1","25.0","1","100.0","6.49","6.49","0","0","0","1","25.0","1","100.0","6.49","6.49","0","0","0","1","25.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"thai paste","88","706","16372","380","2.32","170","24.08","18","10.59","6.49","6.99","4","49","36","97","13.74","13","13.4","5.29","6.99","2","31","11","38","5.38","3","7.89","4.74","6.49","0","12","3","2023-09-30"
"vegan shrimp paste","319","57","1285","106","8.25","22","38.6","16","72.73","7.89","7.89","0","17","3","5","8.77","3","60.0","7.89","7.39","0","4","0","1","1.75","0","0.0","26.95",,"0","1","0","2023-09-30"
"radish","915","13458","279202","388","0.14","6905","51.31","1","0.01","2.49","6.49","5","34","73","6263","46.54","0","0.0","2.49",,"3","9","28","3030","22.51","0","0.0","2.49",,"1","4","8","2023-09-30"
"broccoli","882","204447","4328258","175","0.0","119268","58.34","1","0.0","3.59","7.29","9","104","112","107212","52.44","1","0.0","3.49","7.29","0","27","20","58403","28.57","0","0.0","3.98",,"0","10","7","2023-09-30"
"thai tom yum sauce","378","31","668","71","10.63","14","45.16","6","42.86","7.99","7.29","2","8","3","9","29.03","4","44.44","7.99","7.29","1","4","3","2","6.45","0","0.0","9.95",,"0","2","0","2023-09-30"
"chicken stock","898","35540","804587","156","0.02","21295","59.92","1","0.0","3.29","7.29","422","1193","867","18206","51.23","1","0.01","3.19","7.29","310","764","508","9220","25.94","0","0.0","3.19",,"153","369","231","2023-09-30"
"thai yellow curry paste mild","715","32","964","65","6.74","25","78.13","4","16.0","7.99","7.99","0","9","10","10","31.25","3","30.0","7.99","7.99","0","1","7","5","15.63","0","0.0","5.24",,"0","1","3","2023-09-30"
"curry paste whole fodos","669","1","19","2","10.53","2","200.0","1","50.0","6.49","6.49","1","1","0","2","200.0","1","50.0","6.49","6.49","1","1","0","1","100.0","1","100.0","6.49","6.49","0","1","0","2023-09-30"
"pate","751","11991","260801","478","0.18","2888","24.08","1","0.03","9.99","6.49","68","436","367","1287","10.73","1","0.08","9.69","6.49","34","166","92","536","4.47","0","0.0","9.99",,"27","76","39","2023-09-30"
"ginger garlic paste","732","4204","108440","515","0.47","1745","41.51","3","0.17","10.99","7.99","41","519","588","978","23.26","1","0.1","10.99","7.99","27","336","323","455","10.82","0","0.0","10.99",,"15","162","136","2023-09-30"
"oolek","638","2","22","3","13.64","1","50.0","1","100.0","14.95","14.95","0","0","1","1","50.0","1","100.0","14.95","14.95","0","0","1","1","50.0","1","100.0","14.95","14.95","0","0","1","2023-09-30"
"organic yellow curry thai","694","1","24","1","4.17","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"sichuan","905","736","18249","149","0.82","215","29.21","1","0.47","9.99","7.99","6","53","64","99","13.45","1","1.01","9.99","7.99","0","29","30","25","3.4","0","0.0","8.99",,"0","9","8","2023-09-30"
"ginger carrot dressing","992","195","4704","67","1.42","91","46.67","1","1.1","7.49","6.49","3","6","22","31","15.9","1","3.23","6.59","6.49","1","3","7","7","3.59","0","0.0","6.29",,"0","1","1","2023-09-30"
"lime leaf","988","260","6831","34","0.5","101","38.85","2","1.98","6.99","6.49","0","22","26","51","19.62","1","1.96","5.99","6.49","0","9","13","19","7.31","0","0.0","5.99",,"0","4","8","2023-09-30"
"organic gojuchang","554","15","440","15","3.41","11","73.33","1","9.09","9.99","7.99","1","1","2","2","13.33","1","50.0","7.49","7.99","0","0","0","2","13.33","1","50.0","7.49","7.99","0","0","0","2023-09-30"
"pho broth","288","4770","109634","325","0.3","2105","44.13","3","0.14","10.54","6.49","56","476","549","912","19.12","2","0.22","8.08","6.49","21","167","161","313","6.56","1","0.32","7.49","6.49","10","53","61","2023-09-30"
"pickled beets","476","7237","172001","439","0.26","2730","37.72","3","0.11","12.89","6.99","38","433","633","1276","17.63","2","0.16","6.29","6.49","15","161","235","547","7.56","0","0.0","8.68",,"8","82","98","2023-09-30"
"shrimp paste","335","4928","121104","452","0.37","1939","39.35","12","0.62","7.99","6.99","48","542","733","847","17.19","2","0.24","6.9","7.29","18","240","345","358","7.26","0","0.0","5.31",,"10","132","135","2023-09-30"
"edward and sons","561","309","8040","12","0.15","126","40.78","1","0.79","11.49","6.49","0","26","31","48","15.53","1","2.08","7.49","6.49","0","11","10","20","6.47","1","5.0","7.49","6.49","0","6","5","2023-09-30"
"yellow squash","720","9657","182220","962","0.53","4761","49.3","0","0.0","2.28",,"0","13","16","3841","39.77","0","0.0","2.19",,"0","7","5","2152","22.28","0","0.0","1.97",,"0","2","2","2023-09-30"
"butter masala","417","338","8138","182","2.24","147","43.49","6","4.08","6.99","7.99","9","10","25","71","21.01","3","4.23","6.29","7.99","7","3","6","27","7.99","0","0.0","6.29",,"0","0","2","2023-09-30"
"paleo asian sauce","607","5","108","5","4.63","3","60.0","1","33.33","6.49","6.49","0","0","0","2","40.0","1","50.0","6.29","6.49","0","0","0","2","40.0","1","50.0","6.29","6.49","0","0","0","2023-09-30"
"vegan tom yum paste","245","24","659","86","13.05","14","58.33","6","42.86","7.99","7.29","3","7","2","7","29.17","4","57.14","7.99","7.29","1","4","1","3","12.5","1","33.33","9.98","7.99","0","2","1","2023-09-30"
"lemongrass fresh stalk","475","30","179","30","16.76","6","20.0","2","33.33","2.99","6.49","0","0","0","5","16.67","1","20.0","2.99","7.39","0","0","0","3","10.0","1","33.33","4.99","7.39","0","0","0","2023-09-30"
"minced garlic","167","25189","582128","1599","0.27","11830","46.96","3","0.03","4.89","6.49","330","1436","1150","8732","34.67","2","0.02","4.49","6.49","218","821","650","4068","16.15","1","0.02","4.59","6.49","111","409","303","2023-09-30"
"sundried tomatoes","939","9022","202517","403","0.2","5206","57.7","0","0.0","6.99",,"45","284","272","4011","44.46","0","0.0","6.99",,"25","135","113","1969","21.82","0","0.0","6.99",,"14","62","41","2023-09-30"
"tikka curry paste","755","73","1929","135","7.0","34","46.58","3","8.82","8.72","7.99","0","12","12","22","30.14","2","9.09","8.72","7.99","0","9","6","5","6.85","0","0.0","8.62",,"0","1","1","2023-09-30"
"herb paste","432","267","5580","131","2.35","83","31.09","1","1.2","8.19","7.39","0","14","28","48","17.98","1","2.08","8.19","7.39","0","9","14","9","3.37","1","11.11","7.39","7.39","0","0","3","2023-09-30"
"baisel cooking","661","2","120","2","1.67","3","150.0","1","33.33","7.99","7.99","0","2","1","3","150.0","1","33.33","7.99","7.99","0","2","1","3","150.0","1","33.33","7.99","7.99","0","2","1","2023-09-30"
"lemongrass ginger paste","486","7","160","21","13.13","2","28.57","2","100.0","7.99","7.99","0","1","1","1","14.29","1","100.0","7.99","7.99","0","1","0","1","14.29","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"vindaloo curry","958","93","2491","95","3.81","37","39.78","1","2.7","8.99","7.89","0","10","5","14","15.05","1","7.14","8.99","7.89","0","6","2","4","4.3","0","0.0","8.99",,"0","1","2","2023-09-30"
"organic limes fresh bag","766","274","5094","117","2.3","182","66.42","2","1.1","4.99","6.49","0","0","0","173","63.14","2","1.16","4.99","6.49","0","0","0","84","30.66","0","0.0","4.99",,"0","0","0","2023-09-30"
"thai holy basil","925","315","8603","121","1.41","123","39.05","1","0.81","9.5","7.99","1","31","32","41","13.02","1","2.44","8.99","7.99","1","12","14","23","7.3","0","0.0","9.5",,"1","7","6","2023-09-30"
"tom yum paste vegan","945","9","260","31","11.92","4","44.44","3","75.0","7.29","7.29","0","2","2","2","22.22","1","50.0","7.89","7.89","0","2","0","0","0.0","0",,,,"0","0","0","2023-09-30"
"kimchi","388","105369","2401758","1184","0.05","35748","33.93","3","0.01","9.99","6.49","439","4041","4462","15268","14.49","0","0.0","9.49",,"161","1407","1485","4787","4.54","0","0.0","8.99",,"48","436","406","2023-09-30"
"mae ploy curry paste","880","1924","51021","398","0.78","1476","76.72","2","0.14","7.99","7.99","42","446","564","756","39.29","0","0.0","7.74",,"27","270","260","356","18.5","0","0.0","6.25",,"21","135","103","2023-09-30"
"red chili curry","681","2","33","1","3.03","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"indian spice paste","379","28","584","17","2.91","14","50.0","2","14.29","9.99","7.99","0","5","3","5","17.86","2","40.0","9.99","7.99","0","1","1","2","7.14","1","50.0","7.99","7.99","0","1","0","2023-09-30"
"green chili paste","332","161","3852","127","3.3","64","39.75","2","3.13","9.99","6.49","3","19","14","35","21.74","2","5.71","9.79","6.49","1","7","6","15","9.32","1","6.67","9.99","6.49","1","2","4","2023-09-30"
"keto curry","339","72","1823","33","1.81","56","77.78","4","7.14","8.39","6.49","1","2","12","15","20.83","2","13.33","7.49","6.49","0","1","2","5","6.94","1","20.0","7.99","7.99","0","0","1","2023-09-30"
"siam thai green curry paste","695","1","19","1","5.26","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"garlic paste organic","981","145","3070","75","2.44","49","33.79","1","2.04","7.0","6.49","0","13","8","34","23.45","1","2.94","7.0","6.49","0","9","4","8","5.52","0","0.0","6.29",,"0","3","0","2023-09-30"
"yellw curry paste","690","1","19","1","5.26","1","100.0","1","100.0","7.29","7.29","0","1","0","1","100.0","1","100.0","7.29","7.29","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"panag curry paste","576","16","447","8","1.79","10","62.5","1","10.0","7.29","7.29","0","2","5","8","50.0","1","12.5","6.99","7.29","0","2","3","3","18.75","1","33.33","5.17","7.29","0","0","1","2023-09-30"
"fresh fish","409","13499","265920","185","0.07","3661","27.12","2","0.05","9.99","6.49","2","22","16","2064","15.29","1","0.05","9.79","6.49","1","3","5","1006","7.45","1","0.1","15.99","6.49","0","1","1","2023-09-30"
"daikon radish fresh organic","400","410","8061","214","2.65","201","49.02","2","1.0","3.59","6.49","0","0","0","179","43.66","1","0.56","3.29","6.49","0","0","0","101","24.63","1","0.99","2.49","6.49","0","0","0","2023-09-30"
"gochujang gluten free","237","645","16381","79","0.48","404","62.64","2","0.5","9.79","6.49","29","131","106","112","17.36","2","1.79","9.79","6.49","6","40","33","52","8.06","2","3.85","9.79","6.49","2","25","11","2023-09-30"
"angkor food lemongrass paste","869","53","2016","155","7.69","33","62.26","2","6.06","14.95","6.49","1","8","19","27","50.94","1","3.7","14.95","6.49","1","6","15","8","15.09","0","0.0","14.95",,"0","3","3","2023-09-30"
"radishes","221","5181","111245","1305","1.17","3264","63.0","5","0.15","2.49","6.49","2","13","30","3009","58.08","3","0.1","2.49","6.49","0","9","20","1488","28.72","0","0.0","2.49",,"0","5","3","2023-09-30"
